"","V1","V2"
"1","Precentral_L","Temporal_Pole_Mid_R"
"2","Frontal_Sup_Orb_L","Frontal_Inf_Oper_R"
"3","Frontal_Sup_Orb_L","Rolandic_Oper_R"
"4","Frontal_Sup_Orb_R","Frontal_Inf_Oper_L"
"5","Frontal_Mid_L","Olfactory_R"
"6","Frontal_Mid_L","Occipital_Inf_R"
"7","Frontal_Inf_Oper_L","Olfactory_R"
"8","Frontal_Inf_Oper_L","Rectus_R"
"9","Frontal_Inf_Tri_L","Olfactory_R"
"10","Frontal_Inf_Orb_L","Occipital_Inf_R"
"11","Frontal_Inf_Orb_L","Heschl_R"
"12","Rolandic_Oper_L","Rectus_R"
"13","Rolandic_Oper_R","Olfactory_L"
"14","Supp_Motor_Area_R","Heschl_R"
"15","Frontal_Med_Orb_L","Parietal_Inf_R"
"16","Frontal_Med_Orb_L","SupraMarginal_R"
"17","Rectus_L","Rolandic_Oper_L"
"18","Rectus_L","Rolandic_Oper_R"
"19","Rectus_L","Angular_R"
"20","Rectus_R","Precentral_L"
"21","Rectus_R","Frontal_Inf_Oper_L"
"22","Rectus_R","Cuneus_L"
"23","Rectus_R","Occipital_Mid_L"
"24","Rectus_R","Postcentral_L"
"25","Rectus_R","Parietal_Sup_L"
"26","Insula_L","Occipital_Inf_R"
"27","Hippocampus_R","Heschl_R"
"28","ParaHippocampal_R","Heschl_R"
"29","Calcarine_L","SupraMarginal_L"
"30","Calcarine_L","SupraMarginal_R"
"31","Cuneus_R","Heschl_R"
"32","Lingual_R","Heschl_L"
"33","Lingual_R","Heschl_R"
"34","Occipital_Mid_R","Frontal_Inf_Oper_L"
"35","Occipital_Mid_R","SupraMarginal_L"
"36","Occipital_Inf_L","Frontal_Inf_Oper_R"
"37","Fusiform_R","Precentral_L"
"38","Fusiform_R","Heschl_R"
"39","Postcentral_R","Rectus_L"
"40","Parietal_Inf_L","Olfactory_R"
"41","Parietal_Inf_L","Rectus_R"
"42","Parietal_Inf_R","Frontal_Sup_Orb_L"
"43","Parietal_Inf_R","Frontal_Inf_Orb_L"
"44","Parietal_Inf_R","Frontal_Med_Orb_L"
"45","Parietal_Inf_R","Fusiform_L"
"46","SupraMarginal_L","Occipital_Inf_R"
"47","SupraMarginal_R","Rectus_L"
"48","Angular_R","Rectus_L"
"49","Caudate_R","Heschl_R"
"50","Heschl_R","Amygdala_L"
"51","Temporal_Pole_Sup_L","Rolandic_Oper_R"
"52","Temporal_Pole_Sup_L","Heschl_R"
"53","Temporal_Mid_R","Heschl_L"
"54","Temporal_Pole_Mid_R","SupraMarginal_L"
"55","Temporal_Inf_R","Cingulum_Ant_L"
