"","V1","V2"
"1","Precentral_L","Calcarine_R"
"2","Precentral_L","Heschl_R"
"3","Precentral_R","Frontal_Inf_Orb_L"
"4","Precentral_R","Heschl_L"
"5","Frontal_Sup_Orb_R","Rolandic_Oper_L"
"6","Frontal_Mid_L","Rectus_R"
"7","Frontal_Mid_R","Heschl_L"
"8","Frontal_Mid_Orb_R","Rolandic_Oper_L"
"9","Frontal_Inf_Tri_L","Rectus_R"
"10","Frontal_Inf_Tri_R","Heschl_L"
"11","Frontal_Inf_Orb_L","Rolandic_Oper_R"
"12","Frontal_Inf_Orb_R","Rolandic_Oper_L"
"13","Frontal_Inf_Orb_R","Heschl_L"
"14","Rolandic_Oper_L","Occipital_Inf_R"
"15","Rolandic_Oper_R","Frontal_Inf_Orb_L"
"16","Frontal_Sup_Medial_L","Heschl_L"
"17","Frontal_Med_Orb_L","Frontal_Inf_Oper_R"
"18","Rectus_L","Parietal_Sup_R"
"19","Rectus_R","Frontal_Inf_Tri_L"
"20","Insula_L","Heschl_R"
"21","Insula_R","Heschl_L"
"22","Cingulum_Mid_R","Heschl_L"
"23","Cingulum_Post_L","Heschl_R"
"24","Cingulum_Post_R","Heschl_R"
"25","Hippocampus_L","Heschl_R"
"26","Hippocampus_R","Heschl_L"
"27","ParaHippocampal_R","Rolandic_Oper_L"
"28","Calcarine_R","Rolandic_Oper_L"
"29","Cuneus_L","Heschl_R"
"30","Lingual_L","Rolandic_Oper_R"
"31","Occipital_Sup_R","Rolandic_Oper_L"
"32","Occipital_Sup_R","Heschl_L"
"33","Occipital_Mid_R","Rolandic_Oper_L"
"34","Occipital_Inf_L","Rolandic_Oper_R"
"35","Occipital_Inf_R","Precentral_L"
"36","Occipital_Inf_R","Frontal_Inf_Oper_L"
"37","Occipital_Inf_R","Cingulum_Mid_L"
"38","Fusiform_L","Cingulum_Mid_R"
"39","Fusiform_L","SupraMarginal_R"
"40","Fusiform_L","Heschl_L"
"41","Fusiform_R","Cingulum_Mid_L"
"42","Parietal_Sup_L","Heschl_R"
"43","SupraMarginal_L","Rectus_R"
"44","Angular_L","Rectus_R"
"45","Caudate_L","Heschl_R"
"46","Putamen_L","Heschl_R"
"47","Putamen_R","Heschl_L"
"48","Heschl_L","Frontal_Mid_R"
"49","Heschl_R","Cingulum_Ant_L"
"50","Heschl_R","Calcarine_L"
"51","Heschl_R","Lingual_L"
"52","Heschl_R","Occipital_Mid_L"
"53","Heschl_R","Putamen_L"
"54","Temporal_Sup_L","Rectus_R"
"55","Temporal_Inf_L","Rolandic_Oper_R"
